Artillery Charm I ; Artillery +1
Artillery Charm II ; Artillery +2
Artillery Charm III ; Artillery +3
Attack Charm I ; Attack Boost +1
Attack Charm II ; Attack Boost +2
Attack Charm III ; Attack Boost +3
Attack Charm IV ; Attack Boost +4
Awakening Charm I ; Free Elem/Ammo Up +1
Awakening Charm II ; Free Elem/Ammo Up +2
Awakening Charm III ; Free Elem/Ammo Up +3
Blast Charm I ; Blast Resistance +1
Blast Charm II ; Blast Resistance +2
Blast Charm III ; Blast Resistance +3
Blast Coating Charm  ; Blast Functionality +1
Blaze Charm I ; Fire Attack +1
Blaze Charm II ; Fire Attack +2
Blaze Charm III ; Fire Attack +3
Blaze Charm IV ; Fire Attack +4
Blaze Charm V ; Fire Attack +5
Bleed Charm I ; Bleeding Resistance +1
Bleed Charm II ; Bleeding Resistance +2
Bleed Charm III ; Bleeding Resistance +3
Blessing Charm I ; Divine Blessing +1
Blessing Charm II ; Divine Blessing +2
Blessing Charm III ; Divine Blessing +3
Blight Charm I ; Blight Resistance +1
Blight Charm II ; Blight Resistance +2
Blight Charm III ; Blight Resistance +3
Breaker Charm I ; Partbreaker +1
Breaker Charm II ; Partbreaker +2
Breaker Charm III ; Partbreaker +3
Bulwark Charm  ; Guard Up +1 ; Resuscitate +1
Botany Charm I ; Botanist +1
Botany Charm II ; Botanist +2
Botany Charm III ; Botanist +3
Botany Charm IV ; Botanist +4
Bombardier Charm I ; Bombardier +1
Bombardier Charm II ; Bombardier +2
Bombardier Charm III ; Bombardier +3
Capacity Charm  ; Capacity Boost +1
Critical Charm I ; Critical Boost +1
Critical Charm II ; Critical Boost +2
Challenger Charm I ; Agitator +1
Challenger Charm II ; Agitator +2
Challenger Charm III ; Agitator +3
Challenger Charm IV ; Agitator +4
Clearmind Charm Heat Guard  ; Effluvial Expert +1
Defense Charm I ; Defense Boost +1
Defense Charm II ; Defense Boost +2
Defense Charm III ; Defense Boost +3
Defense Charm IV ; Defense Boost +4
Defense Charm V ; Defense Boost +5
Demolition Charm I ; Blast Attack +1
Demolition Charm II ; Blast Attack +2
Demolition Charm III ; Blast Attack +3
Demolition Charm IV ; Blast Attack +4
Dispersal Charm  ; Spread/Power Shots +1
Dispersal Charm II ; Spread/Power Shots +2
Dragon Charm I ; Dragon Resistance +1
Dragon Charm II ; Dragon Resistance +2
Dragon Charm III ; Dragon Resistance +3
Draw Charm I ; Critical Draw +1
Draw Charm II ; Critical Draw +2
Earplugs Charm I ; Earplugs +1
Earplugs Charm II ; Earplugs +2
Earplugs Charm III ; Earplugs +3
Earplugs Charm IV ; Earplugs +4
Enervate Charm I ; Stamina Thief +1
Enervate Charm II ; Stamina Thief +2
Enervate Charm III ; Stamina Thief +3
Evasion Charm I ; Evade Window +1
Evasion Charm II ; Evade Window +2
Evasion Charm III ; Evade Window +3
Evasion Charm IV ; Evade Window +4
Exploiter Charm I ; Weakness Exploit +1
Exploiter Charm II ; Weakness Exploit +2
Extension Charm I ; Item Prolonger +1
Extension Charm II ; Item Prolonger +2
Extension Charm III ; Item Prolonger +3
Fair Wind Charm  ; Attack Boost +1 ; Divine Blessing +1
Fire Charm I ; Fire Resistance +1
Fire Charm II ; Fire Resistance +2
Fire Charm III ; Fire Resistance +3
Fitness Charm I ; Constitution +1
Fitness Charm II ; Constitution +2
Fitness Charm III ; Constitution +3
Fitness Charm IV ; Constitution +4
Friendship Charm I ; Wide-Range +1
Friendship Charm II ; Wide-Range +2
Friendship Charm III ; Wide-Range +3
Friendship Charm IV ; Wide-Range +4
Friendship Charm V ; Wide-Range +5
Frost Charm I ; Ice Attack +1
Frost Charm II ; Ice Attack +2
Frost Charm III ; Ice Attack +3
Frost Charm IV ; Ice Attack +4
Frost Charm V ; Ice Attack +5
Fortification Charm  ; Fortify +1
Flood Charm I ; Water Attack +1
Flood Charm II ; Water Attack +2
Flood Charm III ; Water Attack +3
Flood Charm IV ; Water Attack +4
Flood Charm V ; Water Attack +5
Focus Charm I ; Focus +1
Focus Charm II ; Focus +2
Focus Charm III ; Focus +3
Fury Charm I ; Resentment +1
Fury Charm II ; Resentment +2
Fury Charm III ; Resentment +3
Fury Charm IV ; Resentment +4
Gale Charm  ; Affinity Sliding +1 ; Airborne +1
Gatherer's Charm  ; Master Gatherer +1 ; Carving Pro +1
Geomancy Charm  ; Forager's Luck +1 ; Detector +1
Geology Charm I ; Geologist +1
Geology Charm II ; Geologist +2
Geology Charm III ; Geologist +3
Glutton's Charm I ; Speed Eating +1
Glutton's Charm II ; Speed Eating +2
Glutton's Charm III ; Speed Eating +3
Guard Charm I ; Iron Skin +1
Guard Charm II ; Iron Skin +2
Guard Charm III ; Iron Skin +3
Guardian Charm  ; Offensive Guard +1
Guardian Charm II ; Offensive Guard +2
Guardian Charm III ; Offensive Guard +3
Handicraft Charm I ; Handicraft +1
Handicraft Charm II ; Handicraft +2
Handicraft Charm III ; Handicraft +3
Handicraft Charm IV ; Handicraft +4
Health Charm I ; Health Boost +1
Health Charm II ; Health Boost +2
Health Charm III ; Health Boost +3
Hungerless Charm I ; Hunger Resistance +1
Hungerless Charm II ; Hunger Resistance +2
Hungerless Charm III ; Hunger Resistance +3
Heavy Artillery Charm I ; Heavy Artillery +1
Heavy Artillery Charm II ; Heavy Artillery +2
Hunter's Life Charm  ; BBQ Master +1 ; Master Fisher +1
Invigorate Charm I ; Power Prolonger +1
Invigorate Charm II ; Power Prolonger +2
Invigorate Charm III ; Power Prolonger +3
Insect Charm I ; Entomologist +1
Insect Charm II ; Entomologist +2
